name,site_name,Lat,Lon,ID
FR-Mej,Mejusseaume,48.1184,-1.79635,77
FR-Hes,Hesse,48.6741,7.06465,162
DE-HoH,Hohes Holz,52.08656,11.22235,90
IT-BFt,Bosco Fontana,45.197754,10.741966,128
FR-EM2,Estrees-Mons A28,49.87211,3.02065,119
DE-Har,Hartheim,47.933,7.5981,114
UK-AMo,Auchencorth Moss,55.792545,-3.2436917,19
IT-Lsn,Lison,45.740482,12.750297,8
SE-Htm,Hyltemossa,56.09763,13.41897,143
FR-Aur,Aurade,43.54965,1.106103,116
CD-Ygb,Yangambi,0.814444,24.502472,139
SE-Svb,Svartberget,64.25611,19.7745,4
FI-Var,Varrio,67.7549,29.61,124
SE-Nor,Norunda,60.0864,17.4794,11
FR-Lam,Lamasquere,43.496437,1.237878,45
GL-Dsk,Disko,69.25349,-53.51413,149
BE-Dor,Dorinne,50.311874,4.968113,9
BE-Maa,Maasmechelen,50.97987,5.631851,33
FR-Tou,Toulouse,43.572857,1.37474,63
FR-FBn,Font-Blanche,43.24079,5.67865,171
IT-Niv,Nivolet,45.49091,7.13943,169
FR-Bil,Bilos,44.493652,-0.956092,3
IE-Cra,Clara Raised Bog,53.32309,-7.641774,122
FR-CLt,Col du Lautaret,45.0414,6.41053,120
DE-RuW,Wustebach,50.50493,6.3309627,62
FI-Ken,Kenttarova,67.98721,24.24301,163
DE-Msr,Mooseurach,47.80918,11.456168,65
DE-Hzd,Hetzdorf,50.96381,13.48978,165
IT-TrF,Torgnon-LD,45.82376,7.56089,13
CZ-Lnz,Lanzhot,48.68155,16.946331,150
