fpar,nirv,nirvp,lue,lai,glass_lai,apar,norm_nirv_glass,norm_nirv_modis,type,name,Lat,Lon,new_type
0.57,0.21856483185430098,55.46556046276835,0.050442775685576396,1.400000025,2.7125000000000004,163.693492441422,0.08501726425439785,0.15589373446188848,DBF,IT-PT1,45.2009,9.061,DBF
0.855,0.154992171230235,28.1730555666989,0.0457938336000104,4.44999995,4.3,157.15837265625,0.03593380265026025,0.03482629423404472,mid_EBF,AU-Tum,-35.6566,148.1517,mid_EBF
0.52125,0.1523116270530115,50.321859261208544,0.01661540273469765,1.35,1.3875000000000002,176.70524669444,0.12144410724793453,0.12325245065830634,GRA,CN-Du2,42.0467,116.2836,GRA
0.4725,0.218717477552725,78.8538020868135,0.0735405428541832,1.05000005,1.475,138.78331125,0.13658769604033014,0.15784679356035064,CRO,FR-EM2,49.87211,3.02065,CRO
0.5325,0.226674437385574,50.56529993682765,0.0504040240935097,1.35625004375,2.15625,128.4856708886095,0.10169148814198983,0.14850779948398257,CRO,US-Ro2,44.7288,-93.0888,CRO
0.615,0.163933073929961,34.0938613360324,0.0357044030420699,1.225,3.5625,126.971874999795,0.05787230666931084,0.11741952580131525,MF,JP-SMF,35.2617,137.0788,MF
0.635,0.172811446740859,56.0269914389424,0.0285614835499602,1.8500000375,1.3,205.821303239104,0.13567131782945716,0.09398895710727136,WET,US-BZF,64.7013,-148.3121,WET
0.71,0.244733764044944,74.2530642076978,0.0259563324822855,2.125000025,2.925,186.375107692813,0.08149647507107542,0.11926532625741579,GRA,CA-MA3,50.1774,-97.8686,GRA
0.695,0.354910359478137,146.3756700729725,0.06002371321153225,2.1000000625,3.4,298.80520332749995,0.10011946532621158,0.1573899752557939,CRO,US-Ne1,41.1651,-96.4766,CRO
0.49,0.158641080196399,59.5102412638165,0.0740123300386465,1.2,1.5125,158.291210156378,0.11317941136943929,0.1669364595545137,CRO,FR-Gri,48.8442,1.9519,CRO
0.666666666666667,0.246837278481013,79.8701672890625,0.0349703035558159,2.4000001,4.55,240.403404375,0.05667024118324729,0.08147373134328362,WET,US-NC4,35.7879,-75.9038,WET
0.400625,0.09699790847585521,13.89470241815875,0.04690691322928905,0.7124999999999999,1.3250000000000002,59.25207495471015,0.07535692052080062,0.139434683369224,ENF,US-xBN,65.154,-147.5026,ENF
0.13,0.0445408293460925,21.3002090675467,0.0235623305612919,0.2,0.2,62.6034615528541,0.172618085106383,0.224301680672269,OSH,US-Jo2,32.5849,-106.6032,OSH
0.22,0.0627414323825159,20.054920693194,0.0134201804551214,0.3,0.3,66.4165802083333,0.1841471442400775,0.20418013590816608,OSH,US-xSR,31.9107,-110.8355,OSH
0.759375,0.369423677468938,163.1547673810175,0.05796936388670795,2.5,3.425,324.70451388891354,0.10549511204047024,0.14065958330845837,CRO,US-Ne2,41.1649,-96.4701,CRO
0.575,0.1569260843642725,68.0320958128788,0.029142233022134797,1.775,1.5,231.83302024534498,0.10806221419357412,0.09755853053252847,DBF,ZM-Mon,-15.4391,23.2525,DBF
0.57,0.213242150537634,91.4373975166266,0.0295473972933895,1.2,1.95,245.650986473889,0.1104745721568151,0.1673684826006144,WET,US-Tw5,38.1072,-121.6426,WET
0.4925,0.19332278063341,108.022529064926,0.0562171036835699,1.2875000625,2.0625,267.35526083333355,0.09167889633395443,0.15529452244152386,CRO,US-A74,36.8085,-97.5489,CRO
0.56,0.09967749170077064,16.777237376597952,0.03895778933886465,1.30000005,1.875,92.8048549999935,0.052153628443949884,0.07772832621226493,ENF,CA-Obs,53.9872,-105.1178,ENF
0.69,0.27588424781162546,53.89023793154065,0.0376168178057488,2.0750000125000003,3.0875000000000004,139.040702769375,0.09013583462030189,0.13127940708519495,GRA,NL-Hor,52.2403,5.0713,GRA
0.595,0.1276972797131365,13.460117864725,0.05935172620361865,1.400000025,2.10625,62.778003385329754,0.05295146490724224,0.09701127038659083,ENF,DE-Tha,50.9626,13.5651,ENF
0.83375,0.346919549123392,80.30109279360815,0.0362778714814459,4.328125034375,5.63125,194.0688046875,0.06283834158166596,0.07322640055908086,DBF,US-xST,45.5089,-89.5864,DBF
0.26291666666666647,0.0620408609731146,20.241095115686797,0.015219288601976001,0.5,0.5,83.24770356901935,0.12658772648755923,0.13862776143332928,OSH,ES-LJu,36.9266,-2.7521,OSH
0.60875,0.16563597715045,26.992275283024952,0.043952107508118995,1.625000020833335,1.5875,100.63202500021,0.10357799612990248,0.1001088435425304,WET,FI-Lom,67.9972,24.2092,WET
0.56,0.175935423365488,47.9476495444277,0.023377683817066,1.3000001,1.3875,149.862052083333,0.11184887044852983,0.13187831938289887,GRA,US-xNG,46.7697,-100.9154,GRA
0.876875,0.2900651185818785,52.14175104898075,0.060029062041418196,4.61250004375,4.6875,135.8834746689065,0.06637899638482142,0.068753634485785,DBF,DK-Sor,55.4859,11.6446,DBF
0.64,0.160472290172923,23.4562386213551,0.0486323175434294,1.75000005,2.8,90.71173515,0.057930528450520526,0.09294357023974656,ENF,US-CS2,44.1467,-89.5002,ENF
0.18,0.05359549818253935,26.3773916575497,0.0139236429180239,0.3,0.3,89.60067142314585,0.1604548766903903,0.17246580351591,OSH,US-Whs,31.7438,-110.0522,OSH
0.55,0.153625313152401,84.6390117602787,0.0321991106762742,1.825,0.9,288.317078579583,0.1689362858307294,0.0883090967249821,WET,US-Srr,38.2006,-122.0264,WET
0.870625,0.178819934248093,26.2599140894701,0.0335790182112251,5.01250005,4.481249999999999,118.46952555749999,0.03967303693814943,0.0368298958760121,mid_EBF,AU-Wom,-37.4222,144.0944,mid_EBF
0.6912499999999999,0.1364443199889705,21.36450563485035,0.042730519853576454,1.71250005,2.4124999999999996,104.2544287820215,0.0544376943764437,0.08233221765506007,ENF,IT-SR2,43.732,10.2909,ENF
0.495,0.168727962778043,106.268637107113,0.0221696360240375,1.6125,1.56875,300.633915105,0.11425077441028225,0.10336575783174945,WSA,AU-RDF,-14.5636,132.4776,WSA
0.3525,0.124085408809023,42.49505000829315,0.02392111609510455,0.75,0.7,126.768193611111,0.17191711661004455,0.16341323807672858,GRA,US-AR2,36.6358,-99.5975,GRA
0.785,0.324118226346997,135.988234744265,0.03328277064558,4.1625,5.4,318.9597625,0.06403159178054894,0.07758331821755628,DBF,US-xGR,35.689,-83.5019,DBF
0.3925,0.136005720758533,23.3825532121803,0.033050944531031606,0.6875,0.5125,76.46386927071126,0.25115849263662904,0.1847455413175924,WET,US-Atq,70.4696,-157.4089,WET
0.77,0.364180477369962,122.858049304726,0.0548570306039899,2.5,4.9,261.33214902885,0.07745433798847476,0.14065105382714993,CRO,US-Ro5,44.691,-93.0576,CRO
0.65,0.2508170300686495,75.72810555511134,0.0395456995847275,2.0,2.59375,200.058037760663,0.09716491943134511,0.1227581812052807,GRA,US-IB2,41.8406,-88.241,GRA
0.575625,0.1232099031851275,17.34691278049145,0.058991243143442396,1.325000041666665,2.60625,74.85260154094499,0.047357346822012356,0.09681576055344007,ENF,DE-Obe,50.7867,13.7213,ENF
0.42374999999999996,0.14021382185443299,26.31835772801915,0.028198775158778902,1.0875,1.81875,92.8646118229165,0.07803266348601727,0.11278368875005229,ENF,CA-NS4,55.9144,-98.3806,ENF
0.355,0.08702918712235355,19.345150573039852,0.0215591663553007,0.5375,0.65625,80.1668943,0.13120456233144806,0.15676396372676618,SAV,AU-Cpr,-34.0021,140.5891,SAV
0.5325,0.151535885167464,25.5192201041456,0.0246780953940662,1.15,1.5125,90.09822121875,0.10152416962743273,0.131091268358668,WET,CA-ARB,52.695,-83.9452,WET
0.766666666666667,0.181245561012467,40.0876522906122,0.0222519140180435,2.69999996666667,1.45,178.667538755193,0.12943805349778303,0.06402104334802317,WET,US-BZo,64.6936,-148.33,WET
0.6637500000000001,0.13142680859838152,17.8018619030269,0.046513023574835846,1.5625000249999998,2.1625,89.92032135405314,0.05982341478569108,0.08364673538512285,ENF,IT-SRo,43.7279,10.2844,ENF
0.505,0.172076090964966,25.0853719170721,0.0367825035693073,0.9,1.675,77.5279935,0.09745896817578131,0.19305171733122833,OSH,IT-Lsn,45.740482,12.750297,OSH
0.7438750000000001,0.15696527077758848,20.73982426380655,0.0509799243997416,2.375000075,2.775,103.0148553930355,0.05333839629850883,0.06906608125733353,ENF,RU-Fyo,56.4615,32.9221,ENF
0.8575,0.353909014479215,94.7140162474745,0.0387497572932938,4.65625003125,5.5375,220.645850585938,0.06668858189846828,0.08027990768532293,DBF,CA-TPD,42.6353,-80.5577,DBF
0.35,0.105127039337474,59.7941929497224,0.0482047530818507,0.7,1.3,211.921983512708,0.09376498470948025,0.14785256608164923,WET,US-Tw1,38.1074,-121.6469,WET
0.155,0.0679199376274637,29.2541749422164,0.009816159244608,0.2875,0.2,68.9164015625,0.2961043709399667,0.2631210731255945,OSH,US-xMB,38.2483,-109.3883,OSH
0.540625,0.1700968193183195,40.852596725423,0.0318338748028932,1.5750000124999999,1.7125,142.6117145107815,0.09226760696830495,0.10728178486654555,GRA,US-ONA,27.3836,-81.9509,GRA
0.615,0.243704007312214,149.3511807081,0.0328869986981548,1.6000000416666649,2.625,337.3550870572915,0.09935212687070577,0.16252707233263994,GRA,US-ARb,35.5497,-98.0402,GRA
0.595,0.41150891838209247,161.289783692746,0.04697979192340575,1.9000000375,3.95625,287.52429828375,0.1040661048667792,0.16463341409086188,CRO,US-CS3,44.1394,-89.5727,CRO
